Types d'aliments,aliment,link,Quantité,Eau,Protéines,Alcool,Glucides,Lipides,Vitamine A(rétinol),Bêta-carotène(provitamine A),Vitamine D(cholécalciférol),Vitamine E(tocophérol),Vitamine K1,Vitamine K2,Vitamine C,Vitamine B1(thiamine),Vitamine B2(riboflavine),Vitamine B3(niacine),Vitamine B5(acide panthonéique),Vitamine B6,Vitamine B9(acide folique),Vitamine B12(cobolamine),Calcium,Cuivre
produits-cerealiers,Bagel,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/produits-cerealiers/bagel-918038,100000000.0,34300000.0,9260000.0,,47300000.0,3980000.0,,2000000.0,,320.0,1500000.0,,,240.0,100.0,2300.0,370.0,83.0,25000000.0,,37300.0,170.0
produits-cerealiers,Baguette,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/produits-cerealiers/baguette-918067,100000000.0,27500000.0,8270000.0,,58300000.0,1400000.0,,,250000.0,320.0,800000.0,,500.0,170.0,10.0,2880.0,460.0,10.0,26800000.0,,22000.0,130.0
produits-cerealiers,Baguette sans sel,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/produits-cerealiers/baguette-sans-sel-918069,100000000.0,26900000.0,8300000.000000001,,56500000.0,1300000.0,,,,,,,,69.0,,,,67.0,23000000.0,,42000.0,120.0
produits-cerealiers,Baguette tradition,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/produits-cerealiers/baguette-tradition-918068,100000000.0,28600000.0,8150000.0,,56600000.0,1000000.0,,5000000.0,250000.0,200.0,800000.0,,500.0,68.0,10.0,100.0,380.0,10.0,19800000.0,,20000.0,120.0
produits-cerealiers,Biscotte,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/produits-cerealiers/biscotte-918040,100000000.0,2800000.0,9800000.0,,76600000.0,5900000.0,53000000.0,,250000.0,830.0,2220000.0,,,120.0,10.0,700.0,520.0,81.0,22300000.0,,29000.0,160.0
produits-cerealiers,Biscotte briochée,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/produits-cerealiers/biscotte-briochee-918039,100000000.0,,10900000.0,,69000000.0,9280000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
produits-cerealiers,Biscotte complète,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/produits-cerealiers/biscotte-complete-918041,100000000.0,4200000.0,11700000.0,,67000000.0,6170000.0,,50000000.0,,680.0,,,,150.0,130.0,1900.0,740.0,140.0,26000000.0,,40600.0,1000.0
produits-cerealiers,Biscotte multicéréale,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/produits-cerealiers/biscotte-multicereale-918042,100000000.0,5100000.0,11800000.0,,66700000.0,7220000.0,,50000000.0,,660.0,,,,160.0,120.0,1600.0,580.0,160.0,29000000.0,,39500.0,1000.0
produits-cerealiers,Blé dur entier,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/produits-cerealiers/ble-dur-entier-918073,100000000.0,10700000.0,12100000.0,,62400000.0,2240000.0,,,,1400.0,30000000.0,,,380.0,120.0,6170.0,1020.0,390.0,32000000.0,,30200.0,440.0
produits-cerealiers,Boulgour,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/produits-cerealiers/boulgour-918074,100000000.0,9050000.0,11500000.0,,66800000.0,1710000.0,,5000000.0,,730.0,16000000.0,,,230.0,120.0,5110.0,1070.0,350.0,24000000.0,,34300.0,330.0
produits-cerealiers,Boulgour cuit,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/produits-cerealiers/boulgour-cuit-918075,100000000.0,71500000.0,3730000.0,,21700000.0,500000.0,,5000000.0,,80.0,500000.0,,500.0,47.0,10.0,340.0,190.0,39.0,10800000.0,,14000.0,160.0
produits-cerealiers,Chapelure,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/produits-cerealiers/chapelure-918043,100000000.0,7290000.0,11600000.0,,70000000.0,3770000.0,,50000000.0,,200.0,,,,200.0,90.0,1000.0,710.0,120.0,22000000.0,,72800.0,100.0
produits-cerealiers,Épeautre,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/produits-cerealiers/epeautre-918076,100000000.0,11000000.0,14600000.0,,59500000.0,2430000.0,,5000000.0,,790.0,3600000.0,,,360.0,110.0,6840.0,1070.0,230.0,45000000.0,,27000.0,510.0
produits-cerealiers,Farine d'épeautre,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/produits-cerealiers/farine-depeautre-918633,100000000.0,10800000.0,11400000.0,,64000000.0,3000000.0,,,250000.0,,2870000.0,,500.0,290.0,10.0,640.0,710.0,210.0,59300000.0,,31000.0,420.0
produits-cerealiers,Farine d'orge,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/produits-cerealiers/farine-dorge-918634,100000000.0,13100000.0,9910000.0,,64500000.0,2300000.0,,,,410.0,2200000.0,,,350.0,110.0,5980.0,150.0,360.0,8000000.0,,27500.0,450.0
produits-cerealiers,Farine de blé tendre ou froment t110,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/produits-cerealiers/farine-de-ble-tendre-ou-froment-t110-918635,100000000.0,12400000.0,9610000.0,,68600000.0,1500000.0,,5000000.0,250000.0,790.0,800000.0,,500.0,260.0,10.0,100.0,480.0,110.0,25700000.0,,27000.0,280.0
produits-cerealiers,Farine de blé tendre ou froment t150,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/produits-cerealiers/farine-de-ble-tendre-ou-froment-t150-918636,100000000.0,10700000.0,11400000.0,,64900000.00000001,1520000.0,,,,1040.0,,,500.0,340.0,110.0,3480.0,1020.0,260.0,52400000.0,,31900.0,350.0
produits-cerealiers,Farine de blé tendre ou froment t45,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/produits-cerealiers/farine-de-ble-tendre-ou-froment-t45-918637,100000000.0,11300000.0,9060000.0,,75900000.0,820000.0,,,,430.0,,,,120.0,31.0,890.0,840.0,60.0,18000000.0,,17400.0,130.0
produits-cerealiers,Farine de blé tendre ou froment t55,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/produits-cerealiers/farine-de-ble-tendre-ou-froment-t55-918638,100000000.0,12500000.0,9030000.0,,73700000.0,1000000.0,,1000000.0,250000.0,400.0,800000.0,,500.0,150.0,10.0,100.0,560.0,54.0,15400000.0,,23000.0,140.0
produits-cerealiers,Farine de blé tendre ou froment t65,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/produits-cerealiers/farine-de-ble-tendre-ou-froment-t65-918639,100000000.0,13200000.0,13600000.0,,67600000.0,1000000.0,,,,500.0,,,,190.0,50.0,1460.0,500.0,80.0,18300000.0,,25300.0,460.0
produits-cerealiers,Farine de blé tendre ou froment t80,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/produits-cerealiers/farine-de-ble-tendre-ou-froment-t80-918640,100000000.0,10700000.0,9950000.0,,73200000.0,1180000.0,,,,790.0,,,500.0,260.0,60.0,1500.0,500.0,130.0,53800000.0,,25400.0,200.0
produits-cerealiers,Farine de maïs,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/produits-cerealiers/farine-de-mais-918641,100000000.0,10500000.0,6230000.0,,78100000.0,2100000.0,,97000000.0,,630.0,300000.0,,,200.0,84.0,4180.0,52.0,210.0,34000000.0,,4000.0,140.0
produits-cerealiers,Farine de millet,https://www.santemagazine.fr/alimentation/nutriments/guide-des-calories/produits-cerealiers/farine-de-millet-918642,100000000.0,10300000.0,10200000.0,,63200000.0,4099999.9999999995,,,250000.0,110.0,2930000.0,,500.0,450.0,43.0,100.0,740.0,250.0,54500000.0,,12000.0,600.0
